Created At,Locations,Organization ID,Organization Name,Organization Logo URL,Organization Slug,Organization Topics,Organization Industry Tags,Organization Stage,Organization Head Count,Source,Slug,Title,URL,Featured,Has Description
1697192735,"['Canada', 'Remote']",56931,Cymax Group Technologies Ltd.,https://cdn.filestackcontent.com/lBfIAsBEQkC11x3liSY2,cymax-group-technologies-ltd,"['100-499', 'Ecommerce/product', 'Marketplace', 'Retail', 'Software', 'Team true north']","['Ecommerce & Marketplace', 'Information Technology', 'Software', 'Transportation']",series_a,4,career_page,30705091-senior-financial-analyst,Senior Financial Analyst,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=33a9306c-011d-4f55-84d4-d407c2ff126d&ccId=19000101_000001&lang=en_CA&selectedMenuKey=CareerCenter&jobId=509140,False,False
1697192074,"['Nashville, TN, USA']",16013,Mejuri,https://cdn.filestackcontent.com/3DLTY70oTNSpgNdOuWlp,mejuri,"['100-499', 'B2C', 'C100 alumni', 'Consumer & lifestyle', 'Ecommerce/product', 'Female founded', 'Software']","['Consumer Products', 'Fashion', 'Transportation']",other,4,career_page,30704287-stylist-retail,Stylist (Retail),https://boards.greenhouse.io/mejuri/jobs/4291385006,False,True
1697192072,[],16013,Mejuri,https://cdn.filestackcontent.com/3DLTY70oTNSpgNdOuWlp,mejuri,"['100-499', 'B2C', 'C100 alumni', 'Consumer & lifestyle', 'Ecommerce/product', 'Female founded', 'Software']","['Consumer Products', 'Fashion', 'Transportation']",other,4,career_page,30704281-seasonal-stylist-retail,Seasonal Stylist (Retail),https://boards.greenhouse.io/mejuri/jobs/4291273006,False,True
1697192071,"['Seattle, WA, USA']",16013,Mejuri,https://cdn.filestackcontent.com/3DLTY70oTNSpgNdOuWlp,mejuri,"['100-499', 'B2C', 'C100 alumni', 'Consumer & lifestyle', 'Ecommerce/product', 'Female founded', 'Software']","['Consumer Products', 'Fashion', 'Transportation']",other,4,career_page,30704279-seasonal-stylist-retail,Seasonal Stylist (Retail),https://boards.greenhouse.io/mejuri/jobs/4291324006,False,True
1697192070,"['San Francisco, CA, USA']",16013,Mejuri,https://cdn.filestackcontent.com/3DLTY70oTNSpgNdOuWlp,mejuri,"['100-499', 'B2C', 'C100 alumni', 'Consumer & lifestyle', 'Ecommerce/product', 'Female founded', 'Software']","['Consumer Products', 'Fashion', 'Transportation']",other,4,career_page,30704278-seasonal-stylist-retail,Seasonal Stylist (Retail),https://boards.greenhouse.io/mejuri/jobs/4291281006,False,True
1697192070,"['Nashville, TN, USA']",16013,Mejuri,https://cdn.filestackcontent.com/3DLTY70oTNSpgNdOuWlp,mejuri,"['100-499', 'B2C', 'C100 alumni', 'Consumer & lifestyle', 'Ecommerce/product', 'Female founded', 'Software']","['Consumer Products', 'Fashion', 'Transportation']",other,4,career_page,30704277-floor-lead,Floor Lead,https://boards.greenhouse.io/mejuri/jobs/4291383006,False,True
1697192069,"['Nashville, TN, USA']",16013,Mejuri,https://cdn.filestackcontent.com/3DLTY70oTNSpgNdOuWlp,mejuri,"['100-499', 'B2C', 'C100 alumni', 'Consumer & lifestyle', 'Ecommerce/product', 'Female founded', 'Software']","['Consumer Products', 'Fashion', 'Transportation']",other,4,career_page,30704276-assistant-store-manager,Assistant Store Manager,https://boards.greenhouse.io/mejuri/jobs/4291381006,False,True
1697191882,['Multiple locations'],22386,Interac,https://cdn.filestackcontent.com/mRbANWlORpGo37AXYyGe,interac,[],['Finance'],other,4,career_page,30704048-systems-and-network-administrator-intern,Systems and Network Administrator Intern,https://interac.wd3.myworkdayjobs.com/Interac/job/Ottawa/Systems-and-Network-Administrator-Intern_REQ-1010,False,True
1697191791,"['Toronto, ON, Canada']",8891,Cinchy,https://cdn.filestackcontent.com/zU1TuALS4CkMx34diGzu,cinchy,"['B2B', 'C100 alumni', 'Developer tool', 'Productivity', 'SaaS', 'Software']","['Finance', 'Information Technology', 'Software']",series_b,3,career_page,30703837-director-of-strategic-finance,Director of Strategic Finance,https://jobs.lever.co/cinchy/b855f17e-f611-4499-9afe-d7f49ec9cbc4,False,True
1697191673,"['Kenosha, WI, USA']",22417,Camis,https://cdn.filepicker.io/api/file/q3Z7V4RLRUueWwCyLrRF,camis,"['100-499', 'Productivity', 'SaaS', 'Software']","['Information Technology', 'Software']",other,4,career_page,30703660-call-center-representative,Call Center Representative,https://camis.bamboohr.com/careers/325,False,False
